,decision_id,decision_description,contract_id,contract_description
427,D.206/2014.,"radioaktív hulladékkal és műszaki gátrendszerrel kapcsolatos vizsgálatok, elemzések",586026,a radioaktív hulladékokat kezelő közhasznú nonprofit kft. részére építés-szerelésbiztosítási (car) szolgáltatások nyújtása
428,D.207/2010.,"fgsz zrt. részére 2010. első félévére szűrőbetét (autotrib, votech) beszerzése",433866,"budapest, xxiii. kerület rézöntő utca - tisza utca kereszteződésében (hrsz.:184703) gázelosztó vezeték létesítése"
429,D.207/2012.,médiaszolgáltatás-támogató és vagyonkezelő alap részére taxi szolgáltatás,45093,könyvvizsgálói szolgáltatás beszerzése az mtva részére
430,D.207/24/2009,farmakológiai és klinikai farmakológiai szolgáltatások nyújtása,457530,hemodinamika eu táj. (jósa)
431,D.208/2011.,"élelmiszerek beszerzése a megrendelő által meghatározott raktárakba történő szállítással a külön felmerülő igényeknek megfelelően (4,5,15,21,22,24,26,29,32,37,38,39,40,55,56,57,65,66,67,69,72 részek)",16972,szolgáltatási szerződés isdn alapú közcélú távbeszélő szolgáltatás nyújtása
433,D.208/2013.,üllő városközpont fejlesztése befejező építési munkái,597226,üllő városközpont fejlesztése befejező építési munkái vállalkozási szerződés keretében
434,D.208/2014.,"keretmegállapodás hd televíziós mobil közvetítőegység bérlésére a médiaszolgáltatás-támogató és vagyonkezelő alap részére 24 havi időszakra, esetenként humán erőforrás biztosításával ",593447,"keretmegállapodás visualtechnikai és kapcsolódó kiegészítő eszközök bérlésére a médiaszolgáltatás-támogató és vagyonkezelő alap részére 24 havi időszakra, esetenként humán erőforrás biztosításával."
435,D.208/9/2009,"veszprém megyei jogú város polgármesteri hivatal szervezetfejlesztése: átvilágítása, javaslatok kidolgozása, támogatása, hivatali dolgozók képzése, oktatása",456141,sopron megyei jogú város - élelmiszerbeszerzés 2009-re
436,D.209/2010.,idősek nappali otthonának kialakítása,42623,derecskei óvoda rekonstrukció kivitelező kiválasztása
438,D.209/2014.,"közforgalmú autóbuszvonalak üzemeltetése midi, szóló, csuklós autóbuszokkal, bruttó költségtérítéssel",576426,midi autóbuszok beszerzése szállítási szerződés keretén belül
439,D.21/2010.,a pte rét utcai klinikai felvonóberendfezés cseréje tárgyú közbeszerzési eljárás keretében klinikai tömb nyugati betegfelvonójának cseréje (1.rész) az északi felvonó felújítása (2.rész) keleti felvonó (3.rész) ,430244,pécsi tudományegyetem részére ims szerkezettel kapcsolatos tervezői szolgáltatás ellátása
440,D.21/2013.,kiskőrös és térsége ivóvízminőség-javító önkormányzati társulás - a keop-1.3.0/09-11-2011-0015 pályázat projektmenedzsment szervezet feladatainak teljes körű ellátása.,465995,keop-1.3.0/09-11-2011-0021 pályázat projektmenedzsment szervezet feladatainak teljes körű ellátása
443,D.211/2011.,mogyoród nagyközség hagyományos faluközpontjának (római katolikus templom és környéke) rehabilitációja kmop-5.2.1/a-09-2009-2008 projekt kivitelezése,5682,eh - mogyoród nagyközség hagyományos faluközpontjának (római katolikus templom és környéke) rehabilitációja kmop-5.2.1/a-09-2009-0028 projekt kivitelezése
444,D.211/2012.,"budapest, viii. könyves kálmán krt. 38. címen található épületnek a legfőbb ügyészség irodaházává történő átalakítása",10360,"a budapest viii., könyves kálmán krt. 38. címen található épület ügyészségi irodaházzá való átalakítására vonatkozó kivitelezési tervdokumentáció módosítása"
446,D.212/2010.,törökbálint általános iskola és sportközpont építési koncesszió,439732,általános iskola és sportközpont projekt
447,D.212/2014.,kincstár központ és a megyei igazgatóságok napi és eseti költöztetési és szállítási feladatainak ellátása,599156,téba kiegészítő fejlesztés és működéstámogatási feladatok ellátása.
448,D.213/10/2009,controlling rendszer kiépítése és ehhez kapcsolódó rendszerfejlesztési és tanácsadói szolgáltatás ellátása,455752,"hpv vírus elleni oltóanyag beszerzése szállítási szerződés keretében, tájékoztató az eljárás eredményéről"
449,D.213/2011.,bihari szilárd hulladéklerakó és hasznosító társulás szilárdhulladék-lerakóinak rekultivációja tárgyú keop-2.3.0/2f/09-2009-0006 projekthez kapcsolódó műszaki ellenőri és fidic mérnöki feladatok ellátása,6937,megbízási szerződés a „hajdúsági szilárd hulladéklerakó és hasznosító társulás települési szilárdhulladék-lerakóinak rekultivációja” keop-2.3.0/2f-2009-0008 projekt megvalósításához kapcsolódóan projektmenedzseri feladatok ellátására.
450,D.213/2014.,"i. ütemű eszközbeszerzésre vonatkozó projektmenedzsment, valamint teljes körű projektmenedzsment szolgáltatás beszerzése ii. ké-4116/2014",592988,"tiop-1.2.1/a-12-2013-0005 azonosító számú, a szombathelyi agora - művelődési és sportház területi multifunkcionális közösségi közművelődési központtá történő fejlesztése, átalakítása című projekt lebonyolításához kapcsolódó i. ütemű eszközbeszerzésre vonatkozó projektmenedzsment, valamint teljes körű projektmenedzsment szolgáltatás (projektmenedzser, pénzügyi vezető) beszerzése ii."
451,D.214/2010.,műszaki ellenőri (független mérnöki feladatok) ellátása,437970,megbízási szerződés keretében az orfűi aquapark és orfűi aktív víziturisztikai központ kivitelezéséhez műszaki ellenőri feladatok ellátása
452,D.214/2011. ,rekonstrukcióval egybekötött szolgáltatás-igénybevételt biztosító 20 éves ppp-szerződés a bme schönherz zoltán kollégiumában,7918,(taer) bme baross gábor kollégium északi épületszárnyában található vizesblokkok felújítási munkái (ekb 38/2010.).
453,D.214/2012.,körzeti orvosi rendelőkomplexum építése zalaegerszegen nydop-5.2.1/a-09-2010-001,45400,zalaegerszeg északi tehermentesítő út i. szakasz építményeinek kivitelezése nydop-3.1.1/b.2009-0005 számú projekt keretében - eljárás eredménye
454,D.214/2013.,"tisztító- és tisztálkodási szerek, tisztítóeszközök beszerzése",578751,"szállítási szerződés papír, író- és irodaszer, irodatechnikai termékek beszerzésére"
455,D.214/2014.," i. ütemű eszközbeszerzésre vonatkozó projektmenedzsment, valamint teljes körű projektmenedzsment szolgáltatás (projektmenedzser, pénzügyi vezető) beszerzése ii. ké-4116/2014.  ",592988,"tiop-1.2.1/a-12-2013-0005 azonosító számú, a szombathelyi agora - művelődési és sportház területi multifunkcionális közösségi közművelődési központtá történő fejlesztése, átalakítása című projekt lebonyolításához kapcsolódó i. ütemű eszközbeszerzésre vonatkozó projektmenedzsment, valamint teljes körű projektmenedzsment szolgáltatás (projektmenedzser, pénzügyi vezető) beszerzése ii."
456,D.215/2013.,vállalkozási szerződés a bkv zrt. 59-es villamos vonalán pályafelújítási és áramellátási munkák kivitelezésére ii. ütem,555064,tervezési szerződés
457,D.215/2014.,"kistelek város területét érintő szennyvíz kezelési rendszer kiépítése projekt keretében kistelek területén a szennyvíztisztító telep fidic sárga könyv szerinti, és a csatornahálózat fidic piros könyv szerinti megvalósítása",579739,megbízási szerződés keretében kistelek város területét érintő szennyvíz kezelési rendszer kiépítése keop-1.2.0/09-11-2012-0011 azonosítószámú projekt megvalósítása során pr és kommunikációs szakértői feladatok ellátása
458,D.216/2010.,a belvárosi terek integrált funkcióbővítő fejlesztése,38056,tájékoztató eljárás eredményéről-a belvárosi terek integrált funkcióbővítő fejlesztése nyíregyházán
459,D.216/2011.,"a bkv zrt. 37-es villamos vonalán, az élessarok-őrház megállóhely közötti pálya felújítási és áramellátási munkák ii. ütemének kivitelezése, valamint a combino villamosok be-, és kiálló útvonal felújításának i. üteme (a és b részek)",7285,„az 1-es és 3-as villamos vonalak korszerűsítéséhez és meghosszabbításához szükséges kiviteli tervek elkészítése és a tervezői művezetési feladatok ellátása”
460,D.216/2013.,szent-györgyi albert klinikai központ tiop-2.2.7-07/2f/2-2009-0008 pályázatban megvalósuló építési beruházáshoz kapcsolódó kiegészítő munkák kivitelezése,596036,"vállalkozási szerződés szegedi tudományegyetem tiop-2.2.7-07/2f/2-2009-0008 kódszámú pályázatának keretében a szent-györgyi albert klinikai központ telephelyein üzemelő elektrofiziológiai és hemodinamikai labor eszközeinek és tartozékainak üzemen kívül helyezése, leszerelése és új telephelyen történő telepítése és újra beüzemelése."
461,D.216/2014.,a magyar országgyűlések és a parlamentarizmus történetét bemutató állandó kiállítás megvalósítása (541/2014.). ,595232,"az országgyűlési őrség részére, a meglévő fém öltözőszekrények bővítése (536/2013)"
462,D.217/2010.,"szeged elektromos tömegközlekedése fejlesztése projekt keretében a 3-as villamospálya és felső vezeték, valamint kapcsolódó egyéb építmények építési munkáinak generál kivitelezése és kiegészítő tervezése",430423,"szeged elektromos tömegközlekedés fejlesztése projekt keretében a 2-es villamos pálya és felsővezeté,, valamint kapcsolódó egyéb építmények építési munkáinak generál kivitelezése és kiegészítő tervezése"
463,D.217/2013.,szent-györgyi albert klinikai központ tiop-2.2.2-08/2-2009-0008 pályázatban megvalósuló építési beruházáshoz kapcsolódó kiegészítő munkák kivitelezése,596036,"vállalkozási szerződés szegedi tudományegyetem tiop-2.2.7-07/2f/2-2009-0008 kódszámú pályázatának keretében a szent-györgyi albert klinikai központ telephelyein üzemelő elektrofiziológiai és hemodinamikai labor eszközeinek és tartozékainak üzemen kívül helyezése, leszerelése és új telephelyen történő telepítése és újra beüzemelése."
464,D.217/2014.,"neptun egységes tanulmányi rendszer bevezetése, technológiai és jogszabályi követése, valamint támogatása a támop-4.1.1.c-12/1/konv-2012-0011 azonosítószámú pályázat megvalósítása céljából",595661,"neptun egységes tanulmányi rendszer bevezetése, technológiai és jogszabályi követése valamint támogatása a támop-4.1.1.c-12/1/konv-2012-0011 azonosítószámú pályázat megvalósítása céljából"
465,D.218/2010.,pilisszentiván generációk háza építése,435164,"pilisszentiván - általános iskola épületének bővítése, átalakítása, felújítása"
466,D.218/2011.,a bkv zrt. m3 metróvonalán urh rádiórendszer kiépítése ii. ,5603,bkv zrt. m3 metróvonalán urh rádiórendszer kiépítése ii
467,D.218/2012.,tiop 2.2.4-09/1-2010-0004 központi technológiai tömb kialakítása és a hozzá kapcsolódó korszerű egészségügyi reform megvalósítása az orosháza városi önkormányzat kórházában - kivitelezés,15662,tiop 2.2.4-09/1-2010-0004 központi technológiai tömb kialakítása es a hozzá kapcsolódó korszerű egészségügyi reform megvalósítása az orosháza városi önkormányzat kórházában–kivitelezés
468,D.219/2010.,a turisztikai desztináció létrehozása a bakonyalja felzárkóztatásáért című projekt keretében a bakonyszombathelyi iskolaműzeum és rendezvénytár kialakítása,434697,"vállalkozási szerződés a ktkt által fenntartott bakonysárkányi oktatási intézmény bővítési-, felújítási-, fejlesztési munkáira"
469,D.219/2011.,bihari szilárd hulladéklerakó és hasznosító társulás szilárdhulladék lerakóinak rekultivációjához kapcsolódó kivitelezés és kiviteli tervek készítése,9457,építési szerződés: „a hajdúsági szilárd hulladéklerakó és hasznosító társulás települési szilárdhulladék-lerakóinak rekultivációja fidic piros könyv szerint. projekt száma: keop-2.3.0/2f-2009-0008.”
470,D.219/2012.,"bp. ii. ker. szabadság u. 23. alatti klebelsberg kuno általános iskola és gimnázium könyvtárépülete átalakítása, felújítása, akadálymentesítése, stb. kivitelezési munkáihoz kapcsolódó kiegészítő munkák",44797,dominó általános iskola (lenhossék u. 24-28.) részleges átalakítása a polgármesteri hivatal részére
471,D.219/2013.,kommunikációs kampány,593188,vállalkozási szerződés nyílászárók cseréjére és tetőterasz kialakítására
473,D.22/2014.,"foglalkozás-egészségügyi alapszolgáltatás, és azon belül helyszíni szemészeti szolgáltatás ellátása, továbbá egészségügyi szűrővizsgálatok, valamint biológiai monitoring vizsgálatok elvégzése a a fővárosi csatornázási művek zrt. munkavállalói részére ",568336,fővárosi csatornázási művek zrt. részére kamerarendszer beszerzése
474,D.220/2010.,kerékpárút-építés a péceli zöld folyosóért,40855,„péceli ráday kastély márványistálló - kiviteli tervdokumentáció elkészítése”
475,D.220/2011.,belterületi bel- és csapadékvíz- védelmi fejlesztések cserkeszőlőn,19620,"épület átépítés, orvosi rendelő létesítése kesztölcön  –  építési beruházás beszerzés"
476,D.220/2014.,"mérőszolgálat mérési képességének bővítése (2013) egyes részei"" iii. rész 1 darab valósidejű spektrumanalizátor beszerzése",595906,szállítási szerződés - agilent mxg generátor bővítése (meglévő vektor szignál generátor képességeinek bővítése) tárgyában.
477,D.220/5/2009,"közétkeztetési szolgáltatás elvégzése ajánlatkérő általános iskoláiban, óvodáiban és idősek klubjában (házhozszállítással is)",456167,a gödi nemeskéri kiss miklós utca burkolat felújítási munkái
479,D.221/2012.,gyál kistérségi szerepének erősítése a városközpont rehabilitációja által tárgyú projekt részeként kistérségi szolgáltató központ építési beruházás kivitelezése a kiviteli terveknek megfelelően. ,442802,„gyál kistérségi szerepének erősítése a városközpont rehabilitációja által” című kmop-5.2.1/b-2f-2009-0005 számú pályázat részét képező kistérségi szolgáltató központ építési beruházás kivitelezése a kiviteli terveknek megfelelően. tee
480,D.221/2013.,"l'harmattan e-book könyvtár felhasználási jogának biztosítása a támop-4.2.5-09/1-2010-0002, valamint a támop-4.2.5-b-11/1-2011-0001. sz. projektek keretében",597388,az elsevier backfile collections i-ii. adatbázisok felhasználási jogának biztosítása a támop-4.2.5.b-11/1-2011-0001 sz. projekt keretében
481,D.221/9/2009,a sárvári távolsági autóbusz pályaudvar felújítása,455259,"önkormányzati kórház, sárvár járóbeteg központ kialakításához szükséges kiviteli tervek elkészítése"
482,D.222/2010.,munkabúvár felszerelés beszerzés,23842,szoftverfejlesztés
483,D.222/2011.,"fehérvár belvárosa a xvi. században - város makett történelmi oktatópark, valamint királyi játszópark tervezőjének kiválasztása",9452,vállalkozási szerződés a szathmáry palotarom dél-nyugati sarokfalazatának valamint a dél–keleti sarokbástyájának statikai állagmegóvása tárgyában - tájékoztatás eljárás eredményéről
484,D.222/2014.,karbantartó vegyi anyagok beszerzése letéti raktárszerződés keretében - 2. rész,593151,szállítási szerződés - térfigyelő kamerarendszer beszerzése
485,D.223/2010.,mentori és humán szolgáltatás programban résztvevő hátrányos helyzetű álláskereső személy munkaerőpiaci (re) integrációjának megvalósítása érdekében mentori szolgáltatás békés megyében,38217,támop 1.1.2. decentralizált programok a hátrányos helyzetűek foglalkoztatásáért konstrukcióban megvalósuló program keretében a dél-dunántúli régióban élő hátrányos helyzetű álláskereső és inaktív személyek részére mentori szolgáltatás
486,D.223/2011.,"vállalkozási szerződés a kapuvár város önkormányzata tulajdonában álló kapuvár, 4361/7 hrsz-ú ingatlanon építendő inkubátorház építés beruházás kiviteli munkáira, husk/0901/1.1.1./0124 számú pályáza",21101,tájékoztató az eljárás eredményéről bük város önkormányzata tulajdonában álló népi műemlék épület felújítási kiviteli munkáira
487,D.223/2013.,közforgalmú autóbuszjáratok alvállalkozásban történő üzemeltetése,555037,a vértes volán zrt. által üzemeltetett épületek és a hozzájuk tartozó külső területek takarítási feladatainak ellátása
488,D.223/2014.,polielektrolit beszerzés - 1. rész polielektrolit beszerzése királyszentistváni telephelyre,8237,villamos energia beszerzése
489,D.224/2010.,nyíregyháza rozsrétszőlő és sóstóhegy városrészekben játszótér építése,438206,nyíregyháza területén járdaépítés és járdaszélesítések
490,D.224/2012.,felelősségbiztosítási szerződés a nemzeti adó- és vámhivatal gépjárműveire vonatkozóan,15473,"nemzeti adó-és vámhivatal infrastruktúra, háttér-konszolidációs ekop pályázati, szakértői erőforrás beszerzése"
491,D.224/2014.,pneumococcus poliszacharid konjugált vakcina (adszorbeált) beszerzése,580666,szállítási szerződés oltóanyagok beszerzésére
493,D.225/2011.,közbeszerzési eljárás jogtalan mellőzése - ingatlanbérleti szerződések ,7068,"tájékoztató az eljárás eredményéről- budapest xiv,amerikai út 53-55 szám alatt lévő mazsihisz szeretetkórház bővítésének és tetőtérbeépítésének kivitelezése"
495,D.225/2014.,"keretmegállapodás sd televíziós mobil közvetítőegység bérlésére a médiaszolgáltatás-támogató és vagyonkezelő alap részére 24 havi időszakra, esetenként humán erőforrás biztosításával",593447,"keretmegállapodás visualtechnikai és kapcsolódó kiegészítő eszközök bérlésére a médiaszolgáltatás-támogató és vagyonkezelő alap részére 24 havi időszakra, esetenként humán erőforrás biztosításával."
496,D.226/19/2010.,takarítási feladatok az orfk kijelölt telephelyein,437937,kiegészítő ruházati utánpótlási ellátmány biztosítása
497,D.226/2012.,"vállalkozási keretszerződés médiastratégia-alkotási, médiatervezési és vásárlási, reklámügynökségi és online kommunikációs szolgáltatási feladatok elvégzésére vonatkozóan",431145,"a svájci- magyar együttműködési program keretében megvalósítandó „energiahatékonyság fejlesztése"" tárgyú kbt. 251. § (2) bekezdés szerinti általános egyszerű elárás eredménye"
498,D.226/2014.,"keretmegállapodás hd televíziós mobil közvetítőegység bérlésére a médiaszolgáltatás-támogató és vagyonkezelő alap részére 24 havi időszakra, esetenként humán erőforrás biztosításával",593447,"keretmegállapodás visualtechnikai és kapcsolódó kiegészítő eszközök bérlésére a médiaszolgáltatás-támogató és vagyonkezelő alap részére 24 havi időszakra, esetenként humán erőforrás biztosításával."
500,D.227/2010.,csongrád belváros úthálózatának rekonstrukciója,36128,csongrád belváros úthálózatának rekonstrukciója vállalkozási szerződés keretében
501,D.227/2012.,"vállalkozási szerződés lőszermentesítésre a séd-sárvízi malomcsatorna 71 800 fm-én, a 0+000-71+800 km szelvények között",45171,"köti-kövizig - szolnok, lőszermentesítés - táj.elj.eredm."
502,D.227/2014.,"vállalkozási szerződés keretén belül bogád, romonya, nagykozár, kozármisleny szennyvízelvezető rendszerének komplett kivitelezési munkálatai a fidic piros könyv szerinti vállalkozási szerződés alapján",582483,"megbízási szerződés keretén belül- keop-1.2.0/b/10-2010-0024 azonosító számú, bogád, romonya, nagykozár, kozármisleny szennyvízelvezető rendszerének komplett kivitelezési munkálatai című projekt eredményes megvalósításának a teljes körű pénzügyi, ütemezésbeli felügyelete és bonyolítása, a piros fidic (2005) szerződéses feltételek szerinti, (építési munkák szerződéses feltételei a megrendelő által megtervezett magas- és mélyépítési munkák"
503,D.228/2012.,szimbiózisban a régiónkkal - piacközeli kutatási és oktatási kapacitások kiegészítő fejlesztése sikeres multidiszciplináris műszaki és természettudományos kutatásokhoz kapcsolódóan a széchenyi istván egyetemen - informatikai eszköz beszerzése,14322,támop-4.2.3-08/1/2008-0011)  projekt keretében komplex kommunikációs tevékenységek ellátása tájékoztató az eljárás eredményéről
504,D.228/2013.,"jegykiadó automaták (tvm: ticket vending machine) gyártása, szállítása, telepítése és teljes körű üzemeltetése  ",597154,szállítási szerződés 29 darab defibrillátor beszerzésére és teljes körű üzemeltetésére
505,D.228/2014.,"munkásszálló-üzemeltetés. az üzemeltetési feladatok magukban foglalják többek között a következő tevékenységeket: szolgáltatási szerződések előkészítése és megkötése, karbantartása, azonnali hibaelhárítás biztosítása",555365,szolgáltatási keretszerződés
506,D.229/2010.,békéscsabai 2. számú általános iskola komplex felújításának kivitelezése,40783,"békéscsaba közigazgatási területén 2009. évi közvilágítás felújítási, beruházási feladatok kivitelezése vállalkozási szerződés keretében"
507,D.229/2011.,a csongrádi partfal rekonstrukciója és mederrézsű állékonyságának növelése  - fidic piros könyv szerinti generálkivitelezői feladatok ellátása,19199,„a csongrádi partfal rekonstrukciója és a mederrézsű állékonyságának növelése” című projekt fidic piros könyv szerinti generálkivitelezői feladatok ellátása
508,D.229/2013.,"kiegészítő csatornaépítési munkák diósdi és tárnoki hálózatépítési munkák elvégzésére - 1. rész, lot d, diósd ",460449,vállalkozási szerződés az érd és térsége szennyvíz-csatornázása keop projekt kivitelezése során az épülő csatorna kamerás vizsgálatára - tájékoztató az eljárás eredményéről
509,D.229/2014.,"metróvonalak és hozzá kapcsolódó műtárgyak, valamint hév és villamos területén lévő alagutak vízszigetelés javítása injektálásos és szórt módszerrel, valamint pályabeton víztelenítési munkák elvégzése",598750,"vállalkozási szerződés metro motorkocsik egyes villamos készülékeinek javítására és azokhoz elektromos pótalkatrészek, valamint metró mínuszkefe tartóihoz alkatrészek szállítására"
511,D.23/2010.,"a kkk vagyonkezelésébe tartozó országos közutak alatti földterületek teljeskörű (jogi szempontú, szükség esetén geodéziai) területrendezése és gyorsforgalmi utak",446705,"országos közutakon lévő hidak 2009. évi fővizsgálata, célvizsgálata - tájékoztató eljárás ereményéről (hazai)"
512,D.23/2012.,közétkeztetési feladatok és ahhoz kapcsolódó szolgáltatások ellátása ii.,14481,"szentendre tervellenőri, és műszaki ellenőri (fidic mérnöki) feladatok ellátása - eredménytájékoztató"
513,D.23/2013.,"közszolgáltatási szerződés körmend város közigazgatási területén keletkező szilárd kommunális hulladék összegyűjtésére, elszállítására és ártalmatlanításra történő elhelyezésére",460264,"közszolgáltatási szerződés körmend város közigazgatási területén keletkező folyékony kommunális hulladék begyűjtésére, elszállítására és ártalmatlanításra történő elhelyezésére."
514,D.23/2014.,"365 db fix telepítési helyű komplex közlekedési ellenőrzési pont kialakítása, szállítása, telepítése, üzembe helyezése valamint a kapcsolódó szolgáltatások nyújtása",584903,gépjármű-azonosító képzés és kapcsolódó szolgáltatások nyújtása
515,D.230/2010.,intermodális logisztikai fejlesztés a gysev zrt-nél - raktárcsarnok kiviteli tervezése és építése - kiegészítő építési beruházás,434584,intermodális logisztikai fejlesztés a gysev zrt-nél  -   raktárcsarnok kiviteli tervezése és építése
516,D.230/2013.,pannon-fertő régió határon átnyúló fejlesztése pályázat keretében hegykő-vízbázis 6 db kút figyelőkúttá alakítása,577531,villamos energia teljes ellátás alapú szerződés keretében történő szállítása
517,D.230/2014.,hallgatói rendezvények szervezése  ,579843,számítástechnikai eszközök és szerverek bérlése
518,D.231/2014.,bkv zrt. metró üzemigazgatóság kőér utcai járműtelepének fűtési és épületszigetelési korszerűsítésének tervezési munkái,593151,szállítási szerződés - térfigyelő kamerarendszer beszerzése
521,D.232/2014.,"szállítái szerződés a pte ""400 ágyas klinika"" épületének átalakításához és bővítéséhez kapcsolódó bútorszállítására az üzembe helyezése - 1. rész",598775,a 400 ágyas klinika épületének átalakításával és bővítésével kapcsolatos pótmunkák elvégzése iii.
522,D.233/2011.,balatonalmádi város egészségügyi központ informatikai eszközbeszerzés kdop-2007-5.2.1/b.,5739,"""cafeteria utalványok beszerzése balatonalmádi város önkormányzata polgármesteri hivatal dolgozói részére 2011”"
523,D.233/2013.,diósgyőri vár - belső vár rekonstrukciója,462590,győr város 2012. évi karácsonyi díszkivilágítása
525,D.234/2010.,légiforgalmi irányító központ (ans iii. épület) kivitelezési munkái,43283,"matias rendszer átalakítása az új légiforgalmi irányító központ számára (ans iii) szoftver portolással, kiegészítve a szimulátor funkciók i. fázisával és a build8 kapcsán megfogalmazott követelményekkel."
526,D.234/2011.,"dunakapu tér és környezetének felújítására, átépítésére tervezői kiválasztása",8606,"győr, dunakapu tér rendezési tervének módosítása"
527,D.234/2013.,"rendszerintegráció és gsm-r rendszerszállítás, bővebben gsm-r rendszer és egyéb kapcsolódó szolgáltatások ellátásához szükséges berendezések szállítása és szerelése ",555493,"kkir-hálózati és voip eszközök tervezés, szállítás és implementáció iii. - intézményen belüli redundáns hálózat kiépítéséhez szükséges eszközök beszerzése"
528,D.235/2010.,"bp.főv.x. ker. kőbányai önkormányzat saját és intézményei részére tintasugaras, elektrosztatikus és mechanikus nyomtató eszközökbe tonerek, cartridge, és cserélhető nyomtatófejek beszerzése",428989,budapest főváros x. kerület kőbányai önkormányzat egységes vagyon- és felelősségbiztosítása
529,D.235/2011.,hirdetési felületek biztosítása az ajánlattevő kiadásában megjelenő metropol című hírújságban,5214,"tájékoztató az eljárás eredményéről - host, és hostess tevékenység biztosítása"
530,D.235/2013.,"""a regionális vérellátó központok fejlesztése"" tárgyú tiop 2.2.3/11/1-2012-0001. kódszámú programban a kivitelezési dokumentáció elkészítése, valamint szakági tervezői művezetési és kivitelezési tevékenység ellátása",599686,az országos vétellátó szolgálat integrált transzfuziológiai informatikai rendszerének részét képező trace line alkalmazás modul szoftvertámogatása
531,D.235/2014.,keretszerződés irodabútorok és egyéb kiegészítő bútorok szállítása tárgyában a kormányablakok egységes arculatának megvalósításában ,584649,irodabútorok szállítása és egyéb kiegészítő bútorok valamint kapcsolódó szolgáltatások teljesítése a kormányablakok egységes arculatának megvalósításában kecskemét
533,D.236/2012.,"országos mentőszolgálat részére biztosítandó orvosi gázok szállítása, palackbérlete 36 hónap időtartamra és a kapcsolódó szolgáltatások biztosítása az ajánlati dokumentációban részletezettek szertint ",15341,nyomtatványok gyártása az országos mentőszolgálat részére - eljárás eredménye
534,D.236/6/2009,orvosi műszerek beszerzése,455313,sz-b. kórház és gyógyfürdő műszerbeszerzés eu táj. (szszbmö)
536,D.237/2014.,kiadványok beszerzése,583627,szállítási szerződés keretében a keop 2.1.1/2f/09-2009-0003 számú duna projekt üzemeltetéséhez szükséges gépek beszerzése.
537,D.238/2010.,légiforgalmi irányítási felelősségbiztosítás,37069,d&o felelősségbiztosítás
538,D.238/2012.,"az oep számviteli-pénzügyi rendszereinek szabványos, integrált vállalatirányítási megoldással történő kiváltása",428629,nagyteljesítményű számítógép és tárolórendszerek bérlése a kelen rendszer működésének biztosítására
539,D.238/2013.,"megbízási szerződés a „szeged belváros árvízvédelmi fejlesztése"" tárgyú keop-2.1.2/2f/09-2011-0004 azonosítószámú projekthez kapcsolódó külső projektmenedzsment szolgáltatás beszerzésére.  ",578290,"tervezői szerződés a szeged belvárosi árvízvédelmi rendszer fejlesztése tárgyú, keop-2.1.2/2f/09-2011-0004 számú projekthez kapcsolódó előkészítő mérnöki és kiviteli tervek elkészítésére."
540,D.238/2014.,"a bicskei batthyány kastély védett történeti kertjének helyreállítása” „a bicskei batthyány kastély védett történeti kertjének helyreállítása” című, keop-3.1.2/2f/09-11-2013-0003 azonosító számú pályázathoz kapcsolódó projekt kivitelezése",601861,a fehérvárcsurgói károlyi-kastélykert helyreállításának első üteme: a kastély környezete és a tó helyreállítása. című keop-3.1.2/2f/09-11-2013-0002 számú pályázathoz kapcsolódó projekt kivitelezése.
541,D.239/2010.,nyíregyháza és térsége szennyvízelvezetés és szennyvíztisztítási programja csatornahálózati munkák a fidic piros könyve szerint,431505,nyíregyháza és térsége szennyvízelvezetési és szennyvíztisztítási programja - csatornahálózati munkák a fidic piros könyve szerint
542,D.239/2012.,"a zöld egyetem program infrasrtukturális feltételeinek megteremtése a nyugat-magyarországi egyetemen (tiop-1.3.1-07-2f-2009-0008) gép- és műszerbeszerzések, fejlesztések a savaria egyetemi központ részére - 1. rész",430893,"a „zöld egyetem” program infrastrukturális feltételeinek megteremtése a nyme”: tiop-1.3.1-07/2-2f-2009-0008megvalósítandó gép- és műszerbeszerzések, fejlesztések a tudományos központ belsőépítészeti kivitelezése és tervezése, kivitelezése"
543,D.24/2010.,a hencidai általános iskola és napközi otthonos óvoda óvodájának infrastrukturális és pedagógiai megújítása,442446,a hencidai óvoda felújítása
544,D.24/2011.,belterületi bel- és csapadékvíz- védelmi fejlesztések megvalósítása vállalkozási szerződés keretében,19620,"épület átépítés, orvosi rendelő létesítése kesztölcön  –  építési beruházás beszerzés"
545,D.24/2012.,veresegyház város önkormányzat részére kölcsönszerződések megkötése - közbeszerzési eljárás jogtalan mellőzése,11475,vállalkozási szerződés megkötése a geotermikus energiaellátás bővítéséhez szükséges szekunder oldali átalakítás kivitelezésére. - tájékoztató az eljárás eredményéről
546,D.24/2013.,dr.batthyányiné coreth mária óvoda felújítása (nydop-5.3.1/2/2f-2f-2009-0008),465771,"az émop 4.3.1/b-90-2010-0036 azonosító számú, a „károlyi gáspár általános iskola és óvoda infrastrukturális felújítása” című projekt megvalósításához kapcsolódó építési-kivitelezés munkák vállalkozási szerződés keretében"
